title,artist,lyric,genre,year
우리 사랑하게 됐어요.,가인,맨 처음 그 날의 난 아마 몰랐겠지 이런 날 어색했었던 우리 모습이 어제만 같은데 기억하고 있을까 우리 잠시 멀리 있던 날 잠들기 힘든 내 모습 내 맘이 자꾸 널 찾던 날 어떤 맘일까 그대와 나 같은 맘일까 그대와 나 한 가지 내게 분명한 것은 함께 있어야 웃는다는 것 사랑인 걸까 너와 나 같은 맘일까 너와 나 우리가 사랑하게 됐다고 말해도 될까 하나 둘씩 추억이 늘어가면 가게 될수록 너의 곁에서 익숙해진 나 너를 찾게 된 나 너를 위해 준비한 화려하지 못한 순간들 예쁘고 좋은 것들만 받아야 하는 그대인데 어떤 맘일까 그대와 나 같은 맘일까 그대와 나 한 가지 내게 분명한 것은 함께 있어야 웃는다는 것 사랑인 걸까 너와 나 같은 맘일까 너와 나 우리가 사랑하게 됐다고 말하고 싶어 아껴줄께 얼만큼 지켜줄께 얼마만큼 겨울보다 하얗게 그대를 흰 눈이 다 녹아도 지금처럼만 함께 할래 사랑인 가봐 그대와 나 시작인 가봐 그대와 나 이제야 내가 할 수 있는 말 그대와 함께 나누고 싶어 사랑인 가봐 너와 나 시작됐나 봐 너와 나 우리 둘 사랑하게 됐다고 말할 수 있어 사랑하게 됐어,댄스,2010
너 때문에,애프터스쿨,아직도 나 그대를 잊지 못해 헤어진지 벌써 몇년이 지났는지 몰라 그대 생각만하면 자꾸 눈물만 흘러 오늘따라 왜 그렇게 네가 보고플까 창 밖의 빗소리가 내 맘을 흔들어놔 사랑하지 말걸 그랬어 정주지 말걸 그랬어 붙잡지말걸 그랬어 왜 이렇게 나 혼자 아파 사랑하지 말걸 그랬어 정주지 말걸 그랬어 붙잡지말걸 그랬어 왜 이렇게 나 혼자 아파 난 항상 너만의 장미가 되려던 내 맘을 아니 이제 조각난 사랑의 마침표가 됐다는걸 눈물이 밀려와 메마른 입술이 젖어 이제 어떡해 그댈 잊을 수 없어 너 때문에 많이도 울었어 너 때문에 많이도 웃었어 너 때문에 사랑을 믿었어 너 때문에 너 때문에 모두 다 잃었어 정말 답답답해 갑갑갑해 막막막해 너 없는 세상이 내 말을 씹어놓고 자존심 짓밟아놓고 내 맘을 찢어놓고 왜 나를 떠나가 그날도 비가 왔었지 한참을 그댄 말없이 나를 바라보기만 했어어어어 흔들리는 눈빛과 애써 짓는 어색한 미소가 이별을 얘기해줘줘줘줘 사랑하지 말걸 그랬어 정주지 말걸 그랬어 붙잡지말걸 그랬어 왜 이렇게 나 혼자 아파 사랑하지 말걸 그랬어 정주지 말걸 그랬어 붙잡지말걸 그랬어 왜 이렇게 나 혼자 아파 나보고 떠나라고 할 땐 언제고 떠난다니까 어쩌고 미친 사람 취급만해 아무런 말도 못한 채 울어 너 때문에 많이도 울었어 너 때문에 많이도 웃었어 너 때문에 사랑을 믿었어 너 때문에 너 때문에 모두 다 잃었어 정말 답답답해 갑갑갑해 막막막해 너 없는 세상이 내 말을 씹어놓고 자존심 짓밟아놓고 내 맘을 찢어놓고 왜 나를 떠나가 꿈속에선 아직도 시간을 되돌려 맘이 너무 아픈데 견디기 괴로운데 너는 어디서 뭘하니 나 울었어 참 많이 너 없인 난 못살어 내게로 돌아와줘 날 떠나가지마 너 때문에 많이도 울었어 너 때문에 많이도 웃었어 너 때문에 사랑을 믿었어 너 때문에 너 때문에 모두다 잃었어 정말 답답답해 갑갑갑해 막막막해 너 없는 세상이 내 말을 씹어놓고 자존심 짓밟아놓고 내 맘을 찢어놓고 왜 나를 떠나가,댄스,2010
Bo Peep Bo Peep,티아라,아침부터 쭉 투정만 자꾸 부리고 다른 사람과 있냐고 의심하는 나 이젠 나에게 지쳤다고 말하는 너 화 좀 내지 말라고 너무 너무나 착했던 니가 나 땜에 나 땜에 나 땜에 변했어 나를 너무 사랑했던 니가 나는 니가 난 니가 난 너무 좋은 걸 나 땜에 이젠 화내지 말아줘 웃어줘 이제 그만 화 풀어 보고싶다고 자꾸만 전화해서 또 빨리 오라고 재촉만 자꾸하는 나 이런 내가 너무 지겹다고 말하는 너 화 좀 내지 말아줘 항상 날 보면 웃었던 니가 나 땜에 나 땜에 나 땜에 변했어 내 말은 다 받아주던 니가 나는 니가 난 니가 난 너무 좋은 걸 나 땜에 이젠 화내지 말아줘 웃어줘 이제 그만 화풀어 이러는 나의 모습이 널 힘들게 할 줄은 몰랐어 내가 싫어졌다고 하지마 나는 니가 난 니가 난 너무 좋은 걸 나 땜에 이젠 화내지 말아줘 웃어줘 이제 그만 화 풀어,댄스,2010
